n_block,data_size,seed,model,loss,symmetry_error,n_params
2,50,3,shared_aug,3.933570384979248,0.0,651
2,50,4,vanilla,0.24373245239257812,0.4192727208137512,1297
2,50,4,shared,0.32495373487472534,0.0,651
2,50,4,vanilla_aug,0.1187991350889206,0.010422342456877232,1297
2,50,4,shared_aug,0.24884410202503204,0.0,651
2,100,0,vanilla,0.1788611114025116,0.1921704262495041,1297
2,100,0,shared,0.06527404487133026,0.0,651
2,100,0,vanilla_aug,0.35586264729499817,0.02951478399336338,1297
2,100,0,shared_aug,0.17580446600914001,0.0,651
2,100,1,vanilla,0.3410952389240265,0.005177500657737255,1297
2,100,1,shared,0.4633353650569916,0.0,651
2,100,1,vanilla_aug,0.28859370946884155,0.01145979668945074,1297
2,100,1,shared_aug,4.636648654937744,0.0,651
2,100,2,vanilla,1.5484659671783447,0.25109443068504333,1297
2,100,2,shared,2.329535961151123,0.0,651
2,100,2,vanilla_aug,1.7436084747314453,0.3921208381652832,1297
2,100,2,shared_aug,2.3238260746002197,0.0,651
2,100,3,vanilla,0.5662844777107239,0.12784665822982788,1297
2,100,3,shared,0.5034483671188354,0.0,651
2,100,3,vanilla_aug,0.36265328526496887,0.008827857673168182,1297
2,100,3,shared_aug,0.4189229905605316,0.0,651
2,100,4,vanilla,0.26632028818130493,0.33450180292129517,1297
2,100,4,shared,0.30977535247802734,0.0,651
2,100,4,vanilla_aug,0.2119748890399933,0.006891303695738316,1297
2,100,4,shared_aug,0.8711942434310913,0.0,651
2,500,0,vanilla,0.06345642358064651,0.01232822984457016,1297
2,500,0,shared,0.05682730674743652,0.0,651
2,500,0,vanilla_aug,0.09462672472000122,0.005823179613798857,1297
2,500,0,shared_aug,0.058530282229185104,0.0,651
2,500,1,vanilla,0.08893657475709915,0.010742396116256714,1297
2,500,1,shared,0.035418275743722916,0.0,651
2,500,1,vanilla_aug,0.09087192267179489,0.013343261554837227,1297
2,500,1,shared_aug,0.0374661460518837,0.0,651
2,500,2,vanilla,0.12086170166730881,0.10765735059976578,1297
2,500,2,shared,0.34264183044433594,0.0,651
2,500,2,vanilla_aug,0.15250888466835022,0.02019638381898403,1297
2,500,2,shared_aug,0.26485759019851685,0.0,651
2,500,3,vanilla,0.19266776740550995,0.047326892614364624,1297
2,500,3,shared,0.046659983694553375,0.0,651
2,500,3,vanilla_aug,0.059800080955028534,0.010380006395280361,1297
2,500,3,shared_aug,0.23953568935394287,0.0,651
2,500,4,vanilla,0.06461264938116074,0.05173379182815552,1297
2,500,4,shared,0.11382396519184113,0.0,651
2,500,4,vanilla_aug,0.11690408736467361,0.011899088509380817,1297
2,500,4,shared_aug,0.12139152735471725,0.0,651
2,1000,0,vanilla,0.18212230503559113,0.01579318568110466,1297
2,1000,0,shared,0.11064771562814713,0.0,651
2,1000,0,vanilla_aug,0.26959228515625,0.02298838272690773,1297
2,1000,0,shared_aug,0.10246553272008896,0.0,651
2,1000,1,vanilla,0.19818569719791412,0.01186638604849577,1297
2,1000,1,shared,0.1887332946062088,0.0,651
2,1000,1,vanilla_aug,0.265900582075119,0.006935153156518936,1297
