k_sym,size_tag,data_size,model,loss_mean,loss_std,loss_n_seeds_used,symmetry_error_mean,symmetry_error_std,symmetry_error_n_seeds_used,n_params
4,medium,8000,vanilla,7747.549886067708,3345.931877722259,3,9505.324808502197,4716.927286781291,3,20272
4,medium,8000,vanilla_aug,3495.8142903645835,1869.6077204502824,3,3262.608512369792,1629.4083689031406,3,20272
4,large,500,shared,280.7303009033203,126.22995403268649,3,3.795640156345481e-11,3.875253554235687e-12,3,6644
4,large,500,shared_aug,246.3340301513672,141.51590060382122,3,2.945633482502134e-11,8.248186904264438e-12,3,6644
4,large,500,vanilla,444.6541748046875,128.45956684492762,3,79.80679359436037,31.670197631156682,3,30304
4,large,500,vanilla_aug,346.20896911621094,145.69305510954766,3,27.283798535664875,1.7943806558102142,3,30304
4,large,2000,shared,2488.2647298177085,913.6132676708726,3,1.3753218943331665e-09,1.0432045902936155e-09,3,6644
4,large,2000,shared_aug,2618.525634765625,1965.880800792741,3,1.1100433609338248e-09,7.630307674586454e-10,3,6644
4,large,2000,vanilla,3397.387736002604,2421.551605813569,3,1071.916660563151,326.55698300144246,3,30304
4,large,2000,vanilla_aug,2344.003865559896,1344.0102993541134,3,345.2061487833659,247.40526575463355,3,30304
4,large,8000,shared,4709.876546223958,4338.786801225275,3,3.703009040142054e-09,1.8508331261479595e-09,3,6644
4,large,8000,shared_aug,4366.224772135417,3683.07622348968,3,3.388242967676073e-09,1.1742093121627144e-09,3,6644
4,large,8000,vanilla,6104.443196614583,3066.8976549496297,3,6289.017848714193,3284.4606242825225,3,30304
4,large,8000,vanilla_aug,1248.0501708984375,295.9685587350965,3,1124.4311848958334,443.73448850535726,3,30304
